graph,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
BNP_0,-0.5562878,0.16853304,-0.61591285,-0.6010987,0.034062013,0.43352765,1.3670161,0.6658701,-0.008468484,0.39889118,0.18503933,0.25980866,1.2302794,0.062318664,0.8588803,-0.48274258,-0.35707512,-0.490149,0.42146695,0.8135138,-1.7472506,0.78440756,-1.3132993,0.504965,-0.36054575,0.31176484,-0.3926291,1.2016739,-0.669442,0.17032245,0.5639248,-0.07686632,-0.4403294,0.5473331,0.7154701,0.7763307,0.94463634,0.65633994,-1.4927568,0.02243236,0.6910303,0.20911129,-1.5168247,-0.9909939,-1.1447806,-1.1418712,-0.25844213,-0.19738531,0.40881523,0.3009224,0.6100277,-0.49782333,-1.2594055,-0.6602599,-0.53242415,0.28996807,0.9247515,-0.48537642,-0.8900332,-1.0841557,0.28556892,-0.52975696,-0.934438,-0.14036326,0.8282452,0.92384356,-0.40108764,0.7723912,0.4292881,0.46623522,-0.17330828,1.0439392,-0.06371695,0.2278333,0.90986115,-1.228189,0.099547125,0.20571604,-0.14482714,-1.1505251,-1.423413,0.16064477,-0.26206222,0.23031618,0.047446955,0.04955632,-0.4501253,-0.055051625,-1.0653044,-0.42087117,-0.7534441,-0.7804722,-1.045592,-0.8030211,-0.033236064,-1.1278983,0.73020256,1.2197871,-0.24048285,-0.20062031,0.6088978,-0.37904155,0.7389455,-0.10335885,-0.12817007,0.15333878,0.51989824,-1.2107168,1.2661192,1.2906344,0.25783285,0.7417451,-0.525535,0.2912143,-0.9062646,-0.39051646,-1.4884865,0.6838614,-0.00038366413,-0.048259564,-0.059705455,1.1382294,-0.9762183,0.32365647,-0.5665253,1.1730822,-0.38170832,1.2046613
BNP_1,-0.0031981813,-0.33829015,0.048209965,-0.15413412,0.1360582,0.41220978,-0.1430315,0.9077352,-0.1532176,0.4386121,0.18282868,-0.1600058,-0.11561189,-0.09378672,0.27099064,0.12391346,-0.020635966,-0.20729482,0.27168915,0.4889086,-0.30305168,-0.13381894,-0.055665266,0.40562135,-0.19125332,-0.14741683,0.039677594,0.20169158,-0.51115465,0.11889147,0.5432253,0.3763622,-0.21821618,0.028334407,-0.13878515,0.440622,0.427767,0.47677436,-0.23048162,0.18404715,0.10769589,-0.068143055,-0.16390502,0.16835049,-0.15929008,0.029220937,-0.6040468,0.1251136,-0.2754022,0.010426549,0.30760148,-0.5633449,-0.10263292,-0.64772,-0.46030205,0.92324096,-0.08277884,-0.18866043,0.0347136,0.057792604,0.17039752,-0.39338836,-0.114682145,-0.26294753,0.50224566,0.13155282,-0.34019014,-0.04913431,-0.28436077,-0.15136765,0.15065254,-0.20799308,0.1615905,-0.023793893,-0.29183045,-0.019749047,-0.5042207,0.8802956,0.23547435,-0.35698256,-0.039657444,-0.034514714,0.55648434,0.043864857,0.035282295,-0.46919915,-0.68682986,0.07676233,-0.04220389,-0.14954984,-0.22557867,-0.36652642,-0.49262384,0.2148798,-0.2075782,-0.91750425,0.5585185,-0.026335273,-0.17035942,-0.16124752,0.1532215,-0.120293744,-0.48628023,-0.13236842,0.5434543,0.1379258,-0.27185225,-0.081003346,0.64036965,0.55204564,0.08868898,-0.049710106,-0.86610335,-0.20382158,-0.23813589,-0.31030074,0.31612173,0.128715,0.41769722,0.02314167,-0.37688357,-0.015954725,-0.74183226,0.41550043,-0.46323553,0.25956893,0.088351525,0.49298748
BNP_10,0.71953404,-0.52395296,0.865897,-0.19253507,-0.43037793,-0.34306955,-0.45287988,0.0235566,-0.5835398,0.6636524,-0.06554177,0.08730302,-0.22310069,-0.8838597,-0.02615963,0.62603307,0.5101847,-0.30403864,-0.13310005,0.4997492,-0.34130684,0.4083038,0.17275265,0.17436673,-0.046005312,-0.15117177,0.100928016,0.29888862,0.17990209,0.16041772,0.30297646,0.23094988,0.16008879,0.7765735,-0.19961956,0.45168176,-0.05225084,0.0717339,0.038772933,0.46383744,-0.03711321,-0.5112889,0.36346328,-0.12732676,-0.28883323,-0.5121367,-0.54583424,-0.021208482,-0.45577523,0.2669077,0.34051117,-0.1821328,0.7691533,-0.26759773,-0.3155479,0.5542583,-0.18019031,0.026425956,0.019338546,0.7361037,0.13482364,-0.48910937,-0.49063855,0.33903968,-0.29653627,-0.25132838,-0.64029604,-0.17740855,-0.33221862,-0.2937973,-0.028931383,-0.31458923,0.40635338,-0.2662171,0.39628386,0.31487688,-0.1460946,0.56338197,-0.26887843,-0.32161182,0.5193079,-0.32578984,0.2655506,-0.59025925,-0.03330737,-0.85453105,-0.5893373,-0.5532418,0.07273197,-0.1455512,-0.64069027,0.882392,0.1980614,0.41397303,-0.46662205,-0.3731651,0.5406015,-0.27481395,-0.23138626,0.61973554,0.3984522,-0.08465586,0.15650643,0.006784722,0.37861064,0.4018017,-0.20741558,-0.06626219,0.07033656,0.07475657,0.013742354,-0.11112023,-0.92044896,-0.5433898,0.16876408,0.109305754,0.18320972,0.59690523,0.115164466,0.46118784,0.27543187,-0.809702,-0.37218857,0.17924902,-0.5204972,-0.41284868,0.071088135,-0.7233828
BNP_100,0.35388073,-0.49856153,0.6888489,-0.30792177,-0.0887004,-0.30895224,-0.30251163,-0.13757622,-0.30858192,0.47193193,0.042702932,0.052567873,-0.18955939,-0.4458376,0.018035948,0.35542786,0.29721674,-0.33902597,-0.1737625,0.5791566,-0.49334577,0.18236852,0.064982936,0.19826643,0.0049289186,-0.050347,0.09657236,0.36366478,-0.070084356,0.05031501,0.28647298,0.022571329,0.15847212,0.43411317,0.009618538,0.42978567,0.019303825,0.030047407,-0.121875554,0.29235658,-0.07482944,-0.42391327,0.26600435,0.17017312,-0.12943713,-0.28621936,-0.6057462,-0.08399666,-0.50950044,-0.061409913,0.26810893,-0.25096974,0.6055873,-0.06405144,-0.36957803,0.688053,-0.10132543,0.15468805,-0.13772197,0.45890725,0.12567203,-0.44987875,-0.43841195,0.19304983,-0.25319314,0.0686411,-0.47740275,0.028992632,-0.16161934,-0.09534414,-0.11508013,-0.23579651,0.16773024,-0.15857603,0.25160867,0.16781825,-0.22370967,0.41710788,-0.061493386,-0.37833428,0.16113222,-0.22604984,0.3623971,-0.44953996,0.12721549,-0.5753786,-0.22870465,-0.37527484,-0.049328446,0.001142236,-0.64249855,0.4468257,-0.07359259,0.18711013,-0.61485714,-0.38739327,0.4229452,-0.3306768,-0.14446035,0.37045673,0.2409339,-0.33096457,-0.05196181,-0.011743439,0.24001059,0.35795468,-0.3668581,-0.22196129,0.17860478,0.404179,-0.13326816,0.016454494,-0.9110124,-0.34758496,0.17530426,0.11415127,0.023903618,0.37722543,0.3406611,0.3192335,0.17510432,-0.2215348,-0.20078385,0.24426359,-0.38107842,-0.3212441,-0.048739854,-0.38738197
BNP_1000,-0.0067483964,-0.37060416,0.26285037,-0.1932664,-0.18721254,0.0023248524,-0.03875767,0.34513554,-0.23638152,0.45834193,0.0050166813,-0.0055355635,0.117555454,-0.23396403,0.0439956,0.052102916,0.3589715,-0.34293726,-0.25432536,0.46954426,-0.28449598,0.05053955,-0.29050076,0.4203502,0.06615549,-0.052654725,0.12854984,0.15942925,-0.39475605,-0.03422839,0.32666773,-0.055250186,0.083821975,0.45490822,0.07634145,0.43726072,0.16443802,0.06992876,-0.0583446,0.1894686,0.03275576,-0.05019983,-0.047597516,0.020539457,-0.036977723,-0.15768595,-0.48747724,0.22649029,-0.59231716,0.17991899,0.3297635,-0.2527981,0.6469711,-0.16457659,-0.33834043,0.7285902,-0.21951473,0.016031994,-0.13338327,0.13470078,0.2203462,-0.49952227,-0.3118359,0.15134493,0.23699006,0.031049645,-0.55233663,-0.09231112,0.023467654,-0.13795143,0.11795473,-0.22214879,-0.1536123,-0.13937806,0.3820892,-0.09736966,-0.14573005,0.46996716,0.33620328,-0.38091817,-0.038057648,-0.117772125,0.46229142,-0.32291892,0.008625205,-0.58014977,-0.44256628,-0.029229596,-0.14586958,-0.0129175065,-0.04545335,-0.24306503,-0.35275578,0.25309142,-0.5618118,-0.7379193,0.49995834,-0.28205204,-0.17034963,0.21029899,0.16558282,-0.31460515,-0.086441234,0.09246646,0.19338526,0.36678666,-0.1898855,-0.21621296,0.35609493,0.4555841,-0.01848476,0.117669225,-0.75272256,0.17826976,-0.15374991,-0.3504018,0.22155449,0.48464763,0.22606936,0.3165473,-0.21929328,-0.22563691,-0.39503655,0.095101446,-0.15110034,0.04023007,0.12273975,0.007403605
BNP_101,0.3554527,-0.4341044,0.3426931,-0.15615697,-0.16838546,-0.066736236,-0.20134658,-0.13726978,-0.2264366,0.25409806,-0.055478737,-0.17154023,0.10532763,-0.3724914,0.33734435,0.3131439,0.08257938,-0.22091812,0.41959864,0.39045587,-0.17315507,0.1528517,-0.259199,0.13492481,-0.01579829,-0.09710795,0.1875741,0.29902238,0.024075704,0.19431776,0.33434647,0.12259949,-0.11831432,0.3114918,-0.031786863,0.3766046,0.22616753,0.1862088,-0.23510395,0.13689925,-0.06164623,-0.2882518,-0.0037432525,-0.11218933,-0.24760716,-0.46211952,-0.34528846,-0.08676885,-0.15099394,-0.09132988,0.09022023,-0.27068222,0.3343926,-0.44147658,-0.065085985,0.41077682,-0.15059422,-0.050893404,-0.10518153,0.21774231,0.21115486,-0.36395034,-0.17166063,0.10871616,-0.11964437,-0.014098959,-0.27625757,-0.030450128,-0.044190057,-0.11142906,-0.26390764,0.14782768,0.15362711,-0.03868512,0.23728873,0.08967009,-0.20778994,0.5340196,-0.11481392,-0.41081354,0.26202247,-0.18938766,0.24010532,-0.29851168,0.25814137,-0.3568806,-0.27743325,-0.21592431,-0.12022287,-0.15653315,-0.393241,0.22853348,-0.13955992,0.15242966,-0.13353756,-0.19013299,0.4106258,-0.08840291,-0.17743336,0.2865552,0.34950107,0.053698488,-0.03051252,-0.10582961,0.026081128,0.4533654,-0.17421097,0.1952242,0.24083906,0.3035801,0.15966554,0.01746591,-0.58260345,-0.36199218,0.0016417047,-0.14761798,-0.069403134,0.49759704,0.19867817,0.36916807,0.13297644,-0.30858836,-0.27089515,0.3089087,-0.4152502,-0.1308887,0.019571068,-0.14608425
BNP_102,0.57286876,-0.49684507,0.5721427,-0.15635072,-0.35187334,-0.5293666,-0.3796153,-0.46983957,-0.3897532,0.5307218,-0.034837957,0.08238663,0.008467708,-0.9349639,-0.12270786,0.47461,0.44890383,-0.08864051,0.031345323,0.2576579,-0.36665836,0.4426551,0.019090995,0.30520433,-0.06415475,-0.053040158,0.018591454,0.43013278,0.28715235,0.10890399,0.14400083,0.04976714,0.25985888,0.8567235,-0.01960194,0.4816572,0.0006100741,-0.17141493,-0.034302518,0.43349874,0.021993514,-0.27719173,0.4261445,-0.2381058,-0.22114617,-0.5275433,-0.5036512,-0.3098295,-0.5356364,0.025435764,0.029996354,-0.010399355,0.8911692,0.07095491,-0.058860466,0.36690742,0.0057357913,0.0678187,-0.17341623,0.53292817,0.13239376,-0.40501678,-0.41872105,0.52652603,-0.46802983,-0.17053258,-0.67458844,-0.1266273,-0.062980674,-0.12758508,-0.05493839,-0.35913432,0.27871168,0.009025321,0.66675365,0.28806904,0.13937421,0.10986939,-0.23136444,-0.53421015,0.35130468,-0.44729105,0.33376297,-0.4643432,0.26309845,-0.38741073,-0.39734504,-0.32063383,0.06827691,-0.2764811,-0.82004064,0.7657121,-0.03674599,0.23169282,-0.22829491,-0.28203082,0.2578379,-0.20835088,-0.3018071,0.67223024,0.3261471,-0.2551158,0.33554938,-0.036593728,0.038200896,0.48655164,-0.1301001,-0.14220397,-0.0366898,0.059885215,-0.21373035,0.08497392,-0.6666552,-0.5513369,0.077691674,-0.039342433,-0.16480929,0.48975393,0.12327986,0.88451046,0.25933313,-0.5887231,-0.07224794,0.06483288,-0.49259388,-0.50203395,0.14196545,-0.341599
BNP_103,0.25700447,-0.24483265,-0.22525091,-0.074154414,-0.38286683,0.087536246,-0.13041352,0.34399942,-0.4225646,0.21687497,-0.116573244,-0.14192535,-0.014079094,-0.5056333,-0.15477857,0.119499914,0.31649372,-0.21541527,0.13987654,0.15140532,-0.016367309,0.16973786,-0.22733046,0.3770382,-0.24605499,0.21727471,0.14268233,-0.0726366,0.33635324,0.0438953,0.33305916,0.41593146,-0.16476329,0.41831657,0.059681088,0.22678652,0.28621653,0.011128595,-0.17181261,0.09728818,0.016008345,-0.07329153,0.080441885,-0.21630333,-0.31950668,-0.14368829,-0.37453803,-0.32869205,0.008721373,0.079501435,-0.06013309,-0.087102376,0.20310743,-0.5161133,-0.09185097,0.28966638,0.052306473,-0.08726979,-0.40246817,0.121831864,0.15791818,-0.10953861,-0.028847463,0.13399063,0.18600172,-0.029499663,-0.40532973,-0.1262631,-0.08833466,-0.007577519,0.29468656,0.44714475,-0.0049702167,-0.18152396,0.35923997,-0.5101559,-0.1730399,0.33824185,-0.31650767,-0.26133382,0.27749613,-0.10109954,0.09029781,-0.16222332,0.08767637,0.040629562,-0.5157266,-0.10199241,0.17599922,-0.4235343,-0.31448388,0.21623303,-0.51429605,-0.17885266,0.080894925,-0.24250107,0.4531942,0.21795091,-0.39356577,0.19021164,0.39553374,-0.058903195,-0.014394695,-0.09909952,0.14714172,0.20968978,-0.18697962,-0.052893244,0.17223437,-0.09825434,0.17890179,0.42109194,-0.3303543,-0.4242809,-0.5770334,-0.120684065,0.16361912,0.3148302,0.020519894,0.71180856,0.00097500323,-0.26149938,-0.63665587,0.18013,-0.50423163,0.2172327,0.150954,-0.0030437375
BNP_104,-0.08606282,0.025577923,-0.32502273,-0.22347543,0.03952867,0.25845942,0.40746453,0.34277424,-0.17540497,0.16559756,0.19299845,-0.0029082764,0.15241414,-0.0907839,0.26350126,-0.2599625,1.1667187e-05,-0.21851403,0.15580675,0.38318312,-0.49058962,0.12320008,-0.4935123,0.4203615,-0.36150536,0.27019855,-0.10431762,0.23595414,-0.08785578,-0.016492968,0.19082311,0.09335019,-0.18600857,0.24789365,0.1403542,0.304435,0.39793834,0.14436805,-0.4907958,0.06005235,0.19464576,-0.07635272,-0.53398156,-0.3092417,-0.3039752,-0.4424773,-0.1926758,-0.13289762,0.06006388,-0.05463811,0.18617797,-0.13454135,-0.29874107,-0.48478895,-0.07805391,0.12816933,0.36835402,-0.16907285,-0.3814533,-0.15356672,0.05096089,-0.3123593,-0.24839786,-0.1412146,0.27769408,0.38101166,-0.08570008,0.33584398,-0.006503023,0.28807887,0.049193725,0.4868995,-0.10301433,-0.07515546,0.23790106,-0.6435784,-0.08827366,0.40321442,-0.24467482,-0.28672615,-0.11031147,-0.06843083,0.0770002,-0.06639207,0.052129343,-0.027361106,-0.09894134,-0.026466703,-0.07491664,-0.28539836,-0.29403245,-0.25505388,-0.5566876,-0.43819946,-0.0506007,-0.4894235,0.40706202,0.2751376,-0.19837588,-0.014767896,0.32012817,-0.07852991,0.09780576,-0.07656266,-0.049800973,0.17677331,-0.04743131,-0.37717775,0.5726376,0.46901345,0.17482293,0.43759167,-0.16739039,-0.0057144845,-0.4543648,-0.24852178,-0.34353763,0.38140577,0.001167565,0.187703,-0.09081549,0.16200621,-0.53877443,0.21169044,-0.3575802,0.49597412,-0.10658897,0.37942508
BNP_105,0.58738756,-0.40426582,0.6294656,-0.21475111,-0.4742728,-0.26093283,-0.18935718,-0.2797551,-0.40535593,0.51145333,-0.033959575,-0.14177395,0.044315986,-0.6191759,-0.020188555,0.5861355,0.2731363,-0.15192932,0.20912176,0.3608055,-0.3917586,0.44773462,0.01647978,0.4658702,-0.15371619,-0.0069193523,-0.017559398,0.3233497,0.26411632,0.24330558,0.15253706,-0.012372104,0.2110097,0.5387687,-0.08413051,0.34800288,0.016532732,0.011328169,-0.0028237742,0.310638,0.095728286,-0.48093382,0.42415667,-0.12640657,-0.3115989,-0.51423526,-0.5277569,-0.043639675,-0.3960939,0.03431669,0.12957245,-0.037631344,0.6346603,-0.15930288,-0.2822157,0.48410916,-0.12703487,0.029626058,0.075066015,0.4299227,0.12588045,-0.46433365,-0.28345743,0.284552,-0.26632532,-0.14580283,-0.43331578,0.07178011,-0.08813201,0.0040405574,-0.109881096,-0.332547,0.42129278,-0.13051379,0.45678353,0.25695187,-0.16907299,0.30266058,-0.18217023,-0.35649648,0.36952752,-0.2702117,0.26371017,-0.33824724,0.31956765,-0.49206552,-0.21526904,-0.3334371,0.18682149,-0.31398568,-0.6547028,0.7310636,0.15182176,0.22150996,-0.1277845,-0.2626263,0.3345982,-0.27297476,-0.37796164,0.6777056,0.41600242,-0.2531758,0.30179217,-0.016425012,0.17873646,0.48785126,-0.29826444,-0.274619,0.076776795,0.089895345,0.08757507,-0.06572786,-0.8047661,-0.5046776,0.113029875,-0.0038327773,-0.19067404,0.44988114,0.16400236,0.61501646,0.13077581,-0.4895954,0.07095211,0.14176247,-0.5180198,-0.42580926,0.0010493739,-0.29544905
